question_id,source_question_no,primary_node_id,verification_status,active,formal_eligible,image_type,ref_count,signature
EXAM-A2-Q055,55,DL-OPT,verified,True,True,question,1,214e165f8c6464e5
EXAM-A2-Q058,58,DL-FFN,verified,True,True,options,4,ff14d40bde7805fc
EXAM-A2-Q059,59,DL-FFN,verified,True,True,mixed,5,463472db419e673b
EXAM-A2-Q060,60,DL-FFN,verified,True,True,mixed,5,463472db419e673b
EXAM-A2-Q062,62,DL-FFN,verified,True,True,mixed,5,ef5d6a51c6d52805
EXAM-A2-Q063,63,DL-FFN,verified,True,True,question,3,d309b879a8579662
EXAM-A2-Q064,64,DL-FFN,verified,True,True,mixed,5,545e60b811922b4f
EXAM-A2-Q065,65,DL-FFN,verified,True,True,mixed,6,67a380c71c3617c2
EXAM-A2-Q066,66,DL-FFN,verified,True,True,question,1,5035896c2b3fd239
EXAM-A2-Q067,67,DL-FFN,verified,True,True,question,1,5035896c2b3fd239
EXAM-A2-Q068,68,DL-FFN,verified,True,True,question,1,5035896c2b3fd239
EXAM-A2-Q069,69,DL-OPT,verified,True,True,question,1,5035896c2b3fd239
EXAM-A2-Q070,70,ML-BASICS,verified,True,True,question,1,5035896c2b3fd239
EXAM-A4-Q006,6,DL-RNN,verified,True,True,mixed,5,bf248b112cd874b7
EXAM-A4-Q008,8,DL-RNN,verified,True,True,options,4,f1a6a988f653ef9b
EXAM-A4-Q022,22,DL-TRANSFORMER,verified,True,True,question,1,d59ff769baf68c96
EXAM-A4-Q028,28,DL-TRANSFORMER,verified,True,True,question,1,c0867900115e2b33
EXAM-A4-Q038,38,APP-LEARN,verified,True,True,question,2,068c35d4a33c7e80
EXAM-A4-Q041,41,DL-GEN,verified,True,True,question,1,014957acb03e0562
EXAM-A4-Q045,45,DL-GEN,verified,True,True,question,1,78c3505d2874d2f2
EXAM-A4-Q058,58,DL-REG,verified,True,True,question,1,5966c5566f5f7acc
EXAM-B1-Q004,4,APP-IMG,verified,True,True,question,1,85e8e394227c3fb9
EXAM-B1-Q006,6,APP-IMG,verified,True,True,question,1,96228eb48b2a230d
EXAM-B1-Q007,7,APP-IMG,verified,True,True,question,1,d513a092594a3be6
EXAM-B1-Q022,22,APP-DET,verified,True,True,question,1,69816725df637219
EXAM-B1-Q023,23,APP-DET,verified,True,True,question,1,69816725df637219
EXAM-B1-Q024,24,APP-DET,verified,True,True,question,1,69816725df637219
EXAM-B1-Q025,25,APP-DET,verified,True,True,mixed,5,7914c7d8ebdd72b4
EXAM-B2-Q007,7,APP-NLP,verified,True,True,options,4,c81e498050d26fa9
EXAM-B2-Q018,18,APP-NLP,verified,True,True,question,1,dd4952b44ef70e8b
EXAM-B2-Q019,19,APP-NLP,verified,True,True,question,2,6ecca43223b6df16
EXAM-B2-Q043,43,APP-GENMODEL,verified,True,True,options,4,f429a8919bbce516
EXAM-B2-Q046,46,APP-GENMODEL,provisional,False,False,mixed,5,ce04f9d9abfbf81c
EXAM-B2-Q051,51,APP-GENMODEL,provisional,False,False,mixed,5,831195bd5d5f59a9
EXAM-B2-Q052,52,APP-GENMODEL,provisional,False,False,options,4,433400331ceb5a08
EXAM-B3-Q003,3,APP-RL,verified,True,True,mixed,5,e9f11f717652923c
EXAM-B3-Q017,17,APP-LEARN,verified,True,True,question,2,54325bfd3c02ccbd
EXAM-B3-Q018,18,APP-LEARN,verified,True,True,question,2,54325bfd3c02ccbd
EXAM-B3-Q024,24,APP-LEARN,verified,True,True,options,4,b79debe04e67ecf8
EXAM-B3-Q033,33,APP-XAI,verified,True,True,question,1,c0658501ef4a95aa
EXAM-B3-Q034,34,APP-XAI,verified,True,True,question,3,24177a0ae77a2d0d
EXAM-B4-Q014,14,OPS-DIST,verified,True,True,question,1,1e156c675d23fd79
EXAM-B4-Q015,15,OPS-DIST,verified,True,True,question,2,b7b7e27503e54fea
